序号  	价格      	名字    
 834	629     	小辣椒 红辣椒畅玩6A
 835	642     	酷派 Cool 1C
 836	297     	三星 Galaxy Mega 5.8
 837	79      	守护宝 V98
 838	1952    	三星 Galaxy A9(2016)
 839	159     	诺基亚 1508
 840	212     	联想 黄金斗士A8
 841	252     	酷派 8712
 842	149     	诺亚信 5310
 843	76      	海语 H1 
 844	2066    	欧奇 P6 
 845	204     	诺基亚 7230
 846	99      	纽曼 T1111
 847	268     	OPPO 1107
 848	1289    	飞利浦 V989
 849	1649    	锤子 M1L
 850	299     	三星 Galaxy Grand 2
 851	443     	联想 A588T
 852	178     	守护宝 CV28
 853	72      	AEKU A3
 854	79      	京崎 X7 
 855	188     	锐族 R2015G
 856	528     	LG G4 
 857	204     	诺基亚 C5-00I
 858	353     	黑莓 Z30
 859	192     	守护宝 CV26
 860	258     	诺基亚 3100
 861	156     	小米 2A 
 862	275     	三星 W589
 863	355     	索尼爱立信 W995
 864	746     	金立 S5 
 865	1086    	三星 B9388
 866	212     	中兴 CV26
 867	739     	酷派 锋尚MAX
 868	147     	联想 A320T
 869	378     	OPPO N1 Mini
 870	120     	摩托罗拉 K1
 871	381     	华度 H1 
 872	2583    	华度 HG06
 873	3598    	征服 S9 
 874	280     	乐目 LM128
 875	971     	YotaPhone YotaPhone 2
 876	749     	HTC One M9+
 877	166     	守护宝 L105
 878	442     	三星 Galaxy Mega 2
 879	69      	华为 C5070
 880	582     	小辣椒 红辣椒4A
 881	917     	诺基亚 N96
 882	138     	步步高 V205
 883	450     	中兴 Blade A1
 884	267     	唐为 T112
 885	260     	vivo Y13
 886	970     	中兴 AXON天机 MAX
 887	482     	朵唯 V15
 888	220     	OPPO U525
 889	154     	索野 H1 
 890	361     	联想 乐檬K3 Note
 891	1141    	索尼 Xperia Z3+ Dual(Z4)
 892	167     	贝尔丰 BFA700 水晶
